Latitude,Longitude,City,Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
-28.4,26.59192105355538,theunissen,za,55.49,89,0,4.76
41.81,127.22588364025353,linjiang,cn,25.34,87,92,7.78
61.6,-143.59603163587477,palmer,us,37.4,100,92,2.64
-45.41,165.85265439618757,te anau,nz,54.77,90,76,15.84
-43.3,-61.42366947287218,rawson,ar,55.4,28,0,16.17
45.62,-94.58442157022182,sartell,us,33.8,58,1,10.02
30.82,-87.41483112621118,saraland,us,46.4,52,20,6.67
61.13,11.354726985308247,rena,no,19.13,90,88,2.53
3.65,10.765861706040369,eseka,cm,73.85,95,88,2.53
6.19,-67.4138929346985,puerto carreno,co,74.39,80,48,4.21
-7.629237786239145,-41.4262110988943,itainopolis,br,,,,
14.3,-91.77159883350915,champerico,gt,77.99,93,0,3.42
53.8,64.26965062818874,borovskoy,kz,17.15,79,80,7.56
35.21,-102.0253115638952,amarillo,us,60.8,30,1,25.28
37.57,32.46049396181766,cumra,tr,41,93,75,2.24
-1.38,13.23119669486303,mounana,ga,71.33,99,92,2.53
-5.2,-31.798085015838126,touros,br,79.43,91,88,6.55
63.05,175.21005622032544,beringovskiy,ru,1.76,100,0,10.69
-20.43,-62.59643494203783,boyuibe,bo,75.74,77,0,15.5
35.61,-110.38678273938609,jackson,us,42.8,74,1,7.23
-3.44,5.046296045964624,mayumba,ga,78.26,100,92,3.2
13.83,20.954059795967055,abeche,td,66.38,21,0,12.03
46.84,-118.53504541050673,fallon,us,35.6,80,1,12.75
31.51,-104.8155763158401,douglas,us,46.4,28,1,7
60.8,21.055659030814894,uusikaupunki,fi,12.2,85,0,3.36
-21.37,54.02975234102465,saint-joseph,re,80.6,65,0,14.99
27.73,107.47538391962877,zunyi,cn,66.11,80,12,4.09
53.74,127.46158100661944,zeya,ru,7.88,43,0,6.78
11.42,-7.811608136844939,bougouni,ml,74.12,84,68,10.02
63.44,-21.20771596042644,vestmannaeyjar,is,42.53,87,88,27.58
31.21,17.91240898233025,surt,ly,58.55,100,0,8.01
37.4,136.28859828148148,wajima,jp,68,42,0,20.8
54.32,-131.17407780554436,prince rupert,ca,42.8,70,20,8.05
49.65,-108.24099783849458,shaunavon,ca,32.09,85,0,16.28
6.12,81.05101158067424,hambantota,lk,81.23,100,48,5.99
33.72,140.5336386238614,shingu,jp,66.2,63,75,8.05
-13.6,23.93863630893358,kabompo,zm,65.57,92,44,4.99
-28.77,97.63832721445294,geraldton,au,80.6,61,40,14.99
-3.52,24.755582073220722,lodja,cd,69.17,98,24,2.42
35.37,131.17379828996388,izumo,jp,73.4,43,75,20.8
-34.29,145.4429519215409,griffith,au,75.11,86,12,5.99
20.52,-12.751310796570294,atar,mr,66.02,33,76,5.21
32.89,35.8911881672646,nawa,sy,33.89,79,0,3.53
33.39,-104.60602009864384,roswell,us,62.6,27,1,17.22
63.75,-76.62327106131148,iqaluit,ca,-11.21,76,40,18.34
31.34,69.28559590366595,zhob,pk,39.38,36,0,3.53
10.3,23.295675741899515,birao,cf,66.29,29,0,8.01
42.96694988291793,40.763232997090086,sukhumi,ge,,,,
14.848105311656752,-16.00055862603176,mbacke,sn,,,,
43.49,-6.43195933162022,pravia,es,48.2,61,76,8.05
-25.04,36.010285006741015,xai-xai,mz,75.83,99,8,12.15
-2.9,-40.65542034206666,camocim,br,76.01,95,76,7.11
64.59,30.81124526565651,kostomuksha,ru,11.57,56,48,11.25
20.9,74.68707072874545,dhule,in,76.1,37,88,3.53
45.23,145.9636269204775,kurilsk,ru,27.41,100,92,17.52
12.010558014733803,26.98235110731676,babanusah,sd,,,,
58.03,56.77051964227661,sylva,ru,15.8,61,0,13.42
62.16,117.85310808931314,suntar,ru,1.67,69,56,3.76
46.77,-54.276397791702635,saint-pierre,pm,35.6,85,75,13.87
-33.04,-73.42475116037626,valparaiso,cl,60.8,72,0,4.7
39.04,65.75881961551983,koson,uz,39.2,69,75,9.17
-15.19,5.2657780477414065,namibe,ao,75.74,100,32,3.2
47.83,88.89734259360779,altay,cn,27.41,80,88,2.64
21.83,-105.14487083058853,yago,mx,68,60,5,3.36
50.23,-64.39668298641172,havre-saint-pierre,ca,32,90,90,14.99
65.95,108.31474161451649,aykhal,ru,-10.22,66,0,3.09
37.8,-21.92021435470525,rabo de peixe,pt,51.8,71,20,8.05
28.37,132.09648434252802,naze,jp,73.4,60,40,12.75
17.54,48.06513540417825,najran,sa,62.6,39,5,2.98
46.06,11.255905767205462,pergine valsugana,it,24.8,92,90,17.22
24.02,-104.63521475453686,durango,mx,66.2,21,5,13.87
-11.38,43.226310716389435,mitsamiouli,km,77,83,20,2.24
40.18,-122.74882535314114,red bluff,us,48.2,81,40,6.93
-1.4,120.86192276799585,poso,id,82.04,100,36,2.75
-23.608460878653347,-84.47258586740271,marcona,pe,,,,
45.03,14.339899062923791,krk,hr,48.2,93,20,8.05
46.77,-91.8957149493238,duluth,us,35.6,74,1,9.17
-3.66,156.4935122708199,namatanai,pg,84.29,97,68,10.02
46.36,-94.03246042285008,brainerd,us,33.8,68,1,5.82
35.94078065662153,44.20688967285369,irbil,iq,,,,
32.67,-19.046114896780296,ponta do sol,pt,60.8,67,40,18.34
-3.71,-23.245282675861404,vila velha,br,82.4,74,20,8.05
-7.846557155271938,154.2421120786621,buin,pg,,,,
53.71,39.94085756842628,ryazhsk,ru,26.69,94,92,10.69
65.58,-171.61955875433765,lavrentiya,ru,7.7,100,88,9.46
29.97,32.46810208030081,suez,eg,45.86,84,20,2.75
-31.65,117.96244968314744,northam,au,77,65,75,16.11
-7.94,107.25426817568871,srandakan,id,85.37,69,20,4.21
32.78,117.86245726105727,mingguang,cn,67.01,86,92,4.65
-7.84,-83.88649475709353,chicama,pe,68,88,20,8.05
-24.79,-66.17720038271139,salta,ar,71.6,94,40,4.7
12.28,123.07306463575401,tumalaytay,ph,79.34,100,24,11.14
68.06,164.74252942294186,bilibino,ru,-18.32,51,12,3.09
9.55,-79.59099246311727,portobelo,pa,82.4,78,20,10.29
53.96,107.09752511648173,kachug,ru,7.61,70,8,3.53
4.28,20.738238273895377,gbadolite,cd,71.15,91,64,7.78
33.93,75.07314795477234,tral,in,31.19,97,92,1.63
-23.87,39.215270685862265,inhambane,mz,73.67,100,0,7.56
54.32,59.4072048842408,uchaly,ru,7.61,64,0,3.98
-13.16,-74.33753693668426,ayacucho,pe,42.62,100,76,2.42
60.47,166.84325372877151,tilichiki,ru,-7.25,75,0,4.09
36.62,-119.19601951085531,orange cove,us,53.6,87,90,4.7
-20.01,63.90581776733444,grand gaube,mu,80.6,74,90,18.34
36.2,37.51673016301382,aleppo,sy,45.41,95,8,3.2
5.56,90.75646874806642,banda aceh,id,85.37,69,8,2.42
59.31,14.1151491187739,kristinehamn,se,23,79,24,8.05
-8.77,163.57710439797006,auki,sb,80.42,100,80,1.52
-10.75,-76.64083559835251,barranca,pe,67.91,95,44,5.44
18.38,122.87685950914181,casambalangan,ph,80.33,100,36,14.5
35.6,-82.5312654623389,asheville,us,35.6,40,1,11.41
51.26,-78.22721012282895,moose factory,ca,6.8,92,20,4.7
19.93,-107.57077674328413,tomatlan,mx,68,88,0,2.53
-17.53,-147.64508764328042,tiarei,pf,78.8,83,75,12.75
-20.92,167.46977897143574,we,nc,84.65,84,12,10.13
-6.32,153.02989700557475,panguna,pg,77.63,91,92,2.53
59.36,140.9994646497429,okhotsk,ru,8.15,100,20,2.08
-9.01,-28.671367979849265,maragogi,br,73.49,99,8,4.99
-38.38,-60.68544701697303,tres arroyos,ar,56.21,60,92,25.57
37.17,-137.65063816054786,sitka,us,60.26,28,0,18.75
36.8,5.313724200877459,timizart,dz,58.01,56,92,1.74
7.53,-79.39658230774386,pedasi,pa,78.8,94,56,18.3
13.78,131.03256542649075,gigmoto,ph,79.97,100,80,11.25
-19.06,-167.20263931344252,alofi,nu,84.2,58,75,9.17
-1.53,31.660306545053714,kayanga,tz,62.78,100,88,1.97
9.19,115.65979977554008,tagusao,ph,82.94,86,12,1.63
43.93,141.89182256381406,rumoi,jp,42.8,81,75,10.29
35.77482975151774,109.35484902988094,yanan,cn,,,,
-3.75,-72.02975721787398,iquitos,pe,77,94,20,3.36
5.71,-77.35943183551758,nuqui,co,76.01,100,24,4.54
-6.92,106.98639920785155,sukabumi,id,83.03,81,12,3.98
35.41,113.77798189621336,jining,cn,59.63,78,64,24.23
12.79,46.77646663614033,aden,ye,76.37,100,92,12.48
-7.99,38.526862976476366,utete,tz,72.23,97,68,2.42
-18.5,-55.92938875447659,coxim,br,74.57,88,20,2.75
-2.92,-39.79234905718374,itarema,br,78.71,89,92,7.23
18.08,-16.77752138562468,nouakchott,mr,69.26,84,0,16.51
-14.92,13.982500262771651,lubango,ao,61.7,100,20,1.97
-25.41,-77.35924262098354,taltal,cl,53.51,96,0,2.08
9.45,19.091462693685827,kyabe,td,70.79,33,12,5.77
31.15,124.84829360786705,huilong,cn,67.73,89,0,4.09
0.05,17.76897446026524,mbandaka,cd,74.66,96,68,2.53
65.85,45.42770400384475,mezen,ru,8.69,50,88,12.71
69.43,63.40736817777335,zapolyarnyy,ru,10.4,92,76,6.93
34.2,-84.78487517257318,florence,us,37.4,31,1,8.79
56.54,89.11037802339183,tyukhtet,ru,-0.23,65,0,4.76
-10.62,153.29110213515276,samarai,pg,80.51,100,92,10.69
-41.75,170.00642744094245,westport,nz,57.2,100,92,3.42
17.41,105.20611597695165,nakhon phanom,th,80.6,69,75,6.93
-6.398204336640063,142.77651253587203,tari,pg,,,,
6.95,37.59432898844668,boditi,et,56.48,96,80,2.64
10.68,128.6157366035518,bacolod,ph,78.98,85,88,7.11
41.76,86.92359290415874,korla,cn,45.59,52,64,5.21
14.35367405567564,111.72783987316336,qui nhon,vn,,,,
53.59,25.72062063370177,navahrudak,by,30.47,89,76,13.15
-35.26,179.39274252985865,russell,nz,70.07,62,92,6.78
-21.44,-65.58727829161728,tupiza,bo,44.87,98,100,1.07
63.2,74.69731657044844,noyabrsk,ru,14.27,89,68,7.11
53.19,44.98937595620609,kamenka,ru,22.28,90,88,16.06
-14.27,54.09220302476993,sambava,mg,76.91,100,92,18.63
42.04,-110.30462273548227,evanston,us,42.8,52,1,5.82
10.62,103.61926051033021,kampot,kh,81.77,87,44,4.09
34.88,-76.09260282001827,havelock,us,37.4,44,1,4.7
26.24,118.22325031086734,sanming,cn,63.41,95,92,1.97
18.42,-64.94486921385197,road town,vg,73.4,100,1,8.05
60.37,90.34553838638175,teya,ru,10.76,63,80,7.67
45.58,-121.74721786920618,washougal,us,50,57,1,2.08
-2.1279538956519275,-69.24624862858549,japura,br,,,,
20.87,-90.73192424202027,celestun,mx,73.67,100,0,20.87
15.729252744183754,71.46949879478382,malwan,in,,,,
-7.47,-29.462433977607503,pitimbu,br,75.2,88,20,6.78
45.43,115.51634261595956,kropotkin,ru,34.79,90,68,2.75
66.0,57.66115953058474,usinsk,ru,-6.44,73,56,13.6
67.06082910158531,27.945535845679643,kemijarvi,fi,,,,
2.5154354795909626,172.9616562313097,rawannawi,ki,,,,
31.46,-100.82558386515859,san angelo,us,57.2,35,1,6.93
37.35,59.50116166373695,kaka,tm,32.27,100,56,3.53
-22.28,165.78543643116632,noumea,nc,91.4,59,75,10.29
